[02:35:58] Model: transformer | params=0.85M
[02:35:59] Loaded init checkpoint from runs/hp_capacity_radius1/large_r1/ckpt_final_curriculum.pt (missing=['_orig_mod.cls_token', '_orig_mod.global_tokens', '_orig_mod.row_embed', '_orig_mod.col_embed', '_orig_mod.input_proj.weight', '_orig_mod.input_proj.bias', '_orig_mod.blocks.0.norm1.weight', '_orig_mod.blocks.0.norm1.bias', '_orig_mod.blocks.0.attn.rel_pos_bias', '_orig_mod.blocks.0.attn.qkv.weight', '_orig_mod.blocks.0.attn.qkv.bias', '_orig_mod.blocks.0.attn.proj.weight', '_orig_mod.blocks.0.attn.proj.bias', '_orig_mod.blocks.0.norm2.weight', '_orig_mod.blocks.0.norm2.bias', '_orig_mod.blocks.0.mlp.fc1.weight', '_orig_mod.blocks.0.mlp.fc1.bias', '_orig_mod.blocks.0.mlp.fc2.weight', '_orig_mod.blocks.0.mlp.fc2.bias', '_orig_mod.blocks.1.norm1.weight', '_orig_mod.blocks.1.norm1.bias', '_orig_mod.blocks.1.attn.qkv.weight', '_orig_mod.blocks.1.attn.qkv.bias', '_orig_mod.blocks.1.attn.proj.weight', '_orig_mod.blocks.1.attn.proj.bias', '_orig_mod.blocks.1.norm2.weight', '_orig_mod.blocks.1.norm2.bias', '_orig_mod.blocks.1.mlp.fc1.weight', '_orig_mod.blocks.1.mlp.fc1.bias', '_orig_mod.blocks.1.mlp.fc2.weight', '_orig_mod.blocks.1.mlp.fc2.bias', '_orig_mod.blocks.2.norm1.weight', '_orig_mod.blocks.2.norm1.bias', '_orig_mod.blocks.2.attn.rel_pos_bias', '_orig_mod.blocks.2.attn.qkv.weight', '_orig_mod.blocks.2.attn.qkv.bias', '_orig_mod.blocks.2.attn.proj.weight', '_orig_mod.blocks.2.attn.proj.bias', '_orig_mod.blocks.2.norm2.weight', '_orig_mod.blocks.2.norm2.bias', '_orig_mod.blocks.2.mlp.fc1.weight', '_orig_mod.blocks.2.mlp.fc1.bias', '_orig_mod.blocks.2.mlp.fc2.weight', '_orig_mod.blocks.2.mlp.fc2.bias', '_orig_mod.blocks.3.norm1.weight', '_orig_mod.blocks.3.norm1.bias', '_orig_mod.blocks.3.attn.qkv.weight', '_orig_mod.blocks.3.attn.qkv.bias', '_orig_mod.blocks.3.attn.proj.weight', '_orig_mod.blocks.3.attn.proj.bias', '_orig_mod.blocks.3.norm2.weight', '_orig_mod.blocks.3.norm2.bias', '_orig_mod.blocks.3.mlp.fc1.weight', '_orig_mod.blocks.3.mlp.fc1.bias', '_orig_mod.blocks.3.mlp.fc2.weight', '_orig_mod.blocks.3.mlp.fc2.bias', '_orig_mod.blocks.4.norm1.weight', '_orig_mod.blocks.4.norm1.bias', '_orig_mod.blocks.4.attn.rel_pos_bias', '_orig_mod.blocks.4.attn.qkv.weight', '_orig_mod.blocks.4.attn.qkv.bias', '_orig_mod.blocks.4.attn.proj.weight', '_orig_mod.blocks.4.attn.proj.bias', '_orig_mod.blocks.4.norm2.weight', '_orig_mod.blocks.4.norm2.bias', '_orig_mod.blocks.4.mlp.fc1.weight', '_orig_mod.blocks.4.mlp.fc1.bias', '_orig_mod.blocks.4.mlp.fc2.weight', '_orig_mod.blocks.4.mlp.fc2.bias', '_orig_mod.blocks.5.norm1.weight', '_orig_mod.blocks.5.norm1.bias', '_orig_mod.blocks.5.attn.qkv.weight', '_orig_mod.blocks.5.attn.qkv.bias', '_orig_mod.blocks.5.attn.proj.weight', '_orig_mod.blocks.5.attn.proj.bias', '_orig_mod.blocks.5.norm2.weight', '_orig_mod.blocks.5.norm2.bias', '_orig_mod.blocks.5.mlp.fc1.weight', '_orig_mod.blocks.5.mlp.fc1.bias', '_orig_mod.blocks.5.mlp.fc2.weight', '_orig_mod.blocks.5.mlp.fc2.bias', '_orig_mod.norm.weight', '_orig_mod.norm.bias', '_orig_mod.belief_policy_proj.0.weight', '_orig_mod.belief_policy_proj.0.bias', '_orig_mod.belief_policy_proj.1.weight', '_orig_mod.belief_policy_proj.1.bias', '_orig_mod.policy_head.0.weight', '_orig_mod.policy_head.0.bias', '_orig_mod.policy_head.1.weight', '_orig_mod.policy_head.1.bias', '_orig_mod.policy_head.3.weight', '_orig_mod.policy_head.3.bias', '_orig_mod.value_head.0.weight', '_orig_mod.value_head.0.bias', '_orig_mod.value_head.1.weight', '_orig_mod.value_head.1.bias', '_orig_mod.value_head.3.weight', '_orig_mod.value_head.3.bias', '_orig_mod.mine_head.0.weight', '_orig_mod.mine_head.0.bias', '_orig_mod.mine_head.1.weight', '_orig_mod.mine_head.1.bias', '_orig_mod.mine_head.3.weight', '_orig_mod.mine_head.3.bias'] unexpected=['cls_token', 'input_proj.weight', 'input_proj.bias', 'blocks.0.norm1.weight', 'blocks.0.norm1.bias', 'blocks.0.attn.rel_pos_bias', 'blocks.0.attn.qkv.weight', 'blocks.0.attn.qkv.bias', 'blocks.0.attn.proj.weight', 'blocks.0.attn.proj.bias', 'blocks.0.norm2.weight', 'blocks.0.norm2.bias', 'blocks.0.mlp.fc1.weight', 'blocks.0.mlp.fc1.bias', 'blocks.0.mlp.fc2.weight', 'blocks.0.mlp.fc2.bias', 'blocks.1.norm1.weight', 'blocks.1.norm1.bias', 'blocks.1.attn.rel_pos_bias', 'blocks.1.attn.qkv.weight', 'blocks.1.attn.qkv.bias', 'blocks.1.attn.proj.weight', 'blocks.1.attn.proj.bias', 'blocks.1.norm2.weight', 'blocks.1.norm2.bias', 'blocks.1.mlp.fc1.weight', 'blocks.1.mlp.fc1.bias', 'blocks.1.mlp.fc2.weight', 'blocks.1.mlp.fc2.bias', 'blocks.2.norm1.weight', 'blocks.2.norm1.bias', 'blocks.2.attn.rel_pos_bias', 'blocks.2.attn.qkv.weight', 'blocks.2.attn.qkv.bias', 'blocks.2.attn.proj.weight', 'blocks.2.attn.proj.bias', 'blocks.2.norm2.weight', 'blocks.2.norm2.bias', 'blocks.2.mlp.fc1.weight', 'blocks.2.mlp.fc1.bias', 'blocks.2.mlp.fc2.weight', 'blocks.2.mlp.fc2.bias', 'blocks.3.norm1.weight', 'blocks.3.norm1.bias', 'blocks.3.attn.rel_pos_bias', 'blocks.3.attn.qkv.weight', 'blocks.3.attn.qkv.bias', 'blocks.3.attn.proj.weight', 'blocks.3.attn.proj.bias', 'blocks.3.norm2.weight', 'blocks.3.norm2.bias', 'blocks.3.mlp.fc1.weight', 'blocks.3.mlp.fc1.bias', 'blocks.3.mlp.fc2.weight', 'blocks.3.mlp.fc2.bias', 'blocks.4.norm1.weight', 'blocks.4.norm1.bias', 'blocks.4.attn.rel_pos_bias', 'blocks.4.attn.qkv.weight', 'blocks.4.attn.qkv.bias', 'blocks.4.attn.proj.weight', 'blocks.4.attn.proj.bias', 'blocks.4.norm2.weight', 'blocks.4.norm2.bias', 'blocks.4.mlp.fc1.weight', 'blocks.4.mlp.fc1.bias', 'blocks.4.mlp.fc2.weight', 'blocks.4.mlp.fc2.bias', 'blocks.5.norm1.weight', 'blocks.5.norm1.bias', 'blocks.5.attn.rel_pos_bias', 'blocks.5.attn.qkv.weight', 'blocks.5.attn.qkv.bias', 'blocks.5.attn.proj.weight', 'blocks.5.attn.proj.bias', 'blocks.5.norm2.weight', 'blocks.5.norm2.bias', 'blocks.5.mlp.fc1.weight', 'blocks.5.mlp.fc1.bias', 'blocks.5.mlp.fc2.weight', 'blocks.5.mlp.fc2.bias', 'norm.weight', 'norm.bias'])
[02:36:06] upd 1/240 | 6.96s | steps=2560 | pi=0.2901 v=0.4189 ent=5.0526 aux=1.1801 ent_coef=0.0020
[02:36:08] upd 2/240 | 2.78s | steps=2560 | pi=0.2789 v=0.3379 ent=5.0254 aux=1.2283 ent_coef=0.0020
[02:36:11] upd 3/240 | 2.81s | steps=2560 | pi=-0.0665 v=0.3810 ent=5.0018 aux=1.2512 ent_coef=0.0020
[02:36:14] upd 4/240 | 2.79s | steps=2560 | pi=-0.0196 v=0.3843 ent=4.9505 aux=1.2861 ent_coef=0.0020
[02:36:17] upd 5/240 | 2.79s | steps=2560 | pi=0.0374 v=0.3683 ent=4.8676 aux=1.2750 ent_coef=0.0020
[02:36:20] upd 6/240 | 2.81s | steps=2560 | pi=-0.0095 v=0.3842 ent=4.7689 aux=1.2980 ent_coef=0.0020
[02:36:22] upd 7/240 | 2.77s | steps=2560 | pi=-0.0033 v=0.3942 ent=4.6414 aux=1.2400 ent_coef=0.0020
[02:36:25] upd 8/240 | 2.77s | steps=2560 | pi=-0.0420 v=0.4332 ent=4.5482 aux=1.1939 ent_coef=0.0020
[02:36:28] upd 9/240 | 2.76s | steps=2560 | pi=-0.0823 v=0.4303 ent=4.4771 aux=1.1971 ent_coef=0.0020
[02:36:31] upd 10/240 | 2.75s | steps=2560 | pi=-0.1168 v=0.4510 ent=4.4347 aux=1.1670 ent_coef=0.0020
[02:36:34] quick eval upd 10: win_rate=0.391 avg_steps=2.29 guesses/ep=1.81 guess_success=0.66 auroc=0.477 score=0.388
[02:36:37] upd 11/240 | 2.79s | steps=2560 | pi=-0.1264 v=0.4843 ent=4.4548 aux=1.1707 ent_coef=0.0020
[02:36:40] upd 12/240 | 2.77s | steps=2560 | pi=0.0147 v=0.4523 ent=4.4513 aux=1.1481 ent_coef=0.0020
[02:36:43] upd 13/240 | 2.78s | steps=2560 | pi=-0.0349 v=0.4350 ent=4.4422 aux=1.1483 ent_coef=0.0020
[02:36:46] upd 14/240 | 2.77s | steps=2560 | pi=-0.0263 v=0.4540 ent=4.3793 aux=1.1513 ent_coef=0.0020
[02:36:48] upd 15/240 | 2.75s | steps=2560 | pi=0.0879 v=0.4527 ent=4.4469 aux=1.1365 ent_coef=0.0020
[02:36:51] upd 16/240 | 2.76s | steps=2560 | pi=-0.0375 v=0.4229 ent=4.3131 aux=1.1178 ent_coef=0.0020
[02:36:54] upd 17/240 | 2.76s | steps=2560 | pi=-0.0275 v=0.4453 ent=4.2663 aux=1.1279 ent_coef=0.0020
[02:36:57] upd 18/240 | 2.75s | steps=2560 | pi=0.0667 v=0.4660 ent=4.2890 aux=1.1295 ent_coef=0.0020
[02:36:59] upd 19/240 | 2.74s | steps=2560 | pi=0.0017 v=0.4551 ent=4.2715 aux=1.1569 ent_coef=0.0020
[02:37:02] upd 20/240 | 2.74s | steps=2560 | pi=0.0508 v=0.4492 ent=4.2926 aux=1.1531 ent_coef=0.0020
[02:37:05] quick eval upd 20: win_rate=0.380 avg_steps=2.26 guesses/ep=1.76 guess_success=0.65 auroc=0.464 score=0.377
[02:37:08] upd 21/240 | 2.75s | steps=2560 | pi=0.0033 v=0.4533 ent=4.3526 aux=1.1480 ent_coef=0.0020
[02:37:10] upd 22/240 | 2.75s | steps=2560 | pi=0.0045 v=0.4520 ent=4.3198 aux=1.1428 ent_coef=0.0020
[02:37:13] upd 23/240 | 2.74s | steps=2560 | pi=0.0846 v=0.4475 ent=4.3251 aux=1.1434 ent_coef=0.0020
[02:37:16] upd 24/240 | 2.75s | steps=2560 | pi=-0.1002 v=0.4549 ent=4.3403 aux=1.1525 ent_coef=0.0020
[02:37:19] upd 25/240 | 2.74s | steps=2560 | pi=0.0349 v=0.4463 ent=4.3509 aux=1.1457 ent_coef=0.0020
[02:37:22] upd 26/240 | 2.77s | steps=2560 | pi=-0.1071 v=0.4624 ent=4.2860 aux=1.1521 ent_coef=0.0020
[02:37:24] upd 27/240 | 2.76s | steps=2560 | pi=-0.1724 v=0.4756 ent=4.1755 aux=1.1483 ent_coef=0.0020
[02:37:27] upd 28/240 | 2.77s | steps=2560 | pi=-0.0956 v=0.4414 ent=4.3006 aux=1.1528 ent_coef=0.0019
[02:37:30] upd 29/240 | 2.76s | steps=2560 | pi=-0.1175 v=0.4645 ent=4.1843 aux=1.1549 ent_coef=0.0019
[02:37:33] upd 30/240 | 2.77s | steps=2560 | pi=-0.0133 v=0.4607 ent=4.1961 aux=1.1687 ent_coef=0.0019
[02:37:36] quick eval upd 30: win_rate=0.370 avg_steps=2.24 guesses/ep=1.75 guess_success=0.64 auroc=0.469 score=0.368
[02:37:39] upd 31/240 | 2.65s | steps=2560 | pi=-0.0474 v=0.4532 ent=4.1269 aux=1.1708 ent_coef=0.0019
[02:37:41] upd 32/240 | 2.70s | steps=2560 | pi=-0.0793 v=0.4642 ent=4.1335 aux=1.1674 ent_coef=0.0019
[02:37:44] upd 33/240 | 2.72s | steps=2560 | pi=-0.0255 v=0.4643 ent=4.1480 aux=1.1744 ent_coef=0.0019
[02:37:47] upd 34/240 | 2.72s | steps=2560 | pi=0.0278 v=0.4456 ent=4.0672 aux=1.1683 ent_coef=0.0019
[02:37:49] upd 35/240 | 2.61s | steps=2560 | pi=0.1483 v=0.4637 ent=4.0502 aux=1.1605 ent_coef=0.0019
[02:37:52] upd 36/240 | 2.65s | steps=2560 | pi=-0.0962 v=0.4659 ent=4.1799 aux=1.1554 ent_coef=0.0019
[02:37:55] upd 37/240 | 2.67s | steps=2560 | pi=-0.0801 v=0.4637 ent=4.1750 aux=1.1517 ent_coef=0.0019
[02:37:57] upd 38/240 | 2.78s | steps=2560 | pi=0.0095 v=0.4499 ent=4.1204 aux=1.1857 ent_coef=0.0019
[02:38:00] upd 39/240 | 2.78s | steps=2560 | pi=0.0402 v=0.4385 ent=4.0885 aux=1.1363 ent_coef=0.0019
[02:38:03] upd 40/240 | 2.77s | steps=2560 | pi=-0.1232 v=0.4641 ent=4.0556 aux=1.1248 ent_coef=0.0019
[02:38:06] quick eval upd 40: win_rate=0.373 avg_steps=2.17 guesses/ep=1.64 guess_success=0.62 auroc=0.471 score=0.372
[02:38:09] upd 41/240 | 2.79s | steps=2560 | pi=0.0089 v=0.4363 ent=4.1099 aux=1.1251 ent_coef=0.0019
[02:38:12] upd 42/240 | 2.79s | steps=2560 | pi=-0.0629 v=0.4489 ent=4.1195 aux=1.1263 ent_coef=0.0019
[02:38:14] upd 43/240 | 2.77s | steps=2560 | pi=0.0379 v=0.4454 ent=4.0153 aux=1.1246 ent_coef=0.0019
[02:38:17] upd 44/240 | 2.76s | steps=2560 | pi=-0.0887 v=0.4470 ent=3.9812 aux=1.1400 ent_coef=0.0019
[02:38:20] upd 45/240 | 2.75s | steps=2560 | pi=-0.0199 v=0.4572 ent=4.1503 aux=1.1178 ent_coef=0.0019
[02:38:23] upd 46/240 | 2.75s | steps=2560 | pi=-0.1122 v=0.4448 ent=4.0253 aux=1.1114 ent_coef=0.0019
[02:38:25] upd 47/240 | 2.64s | steps=2560 | pi=0.0439 v=0.4141 ent=3.9121 aux=1.1032 ent_coef=0.0019
[02:38:28] upd 48/240 | 2.67s | steps=2560 | pi=-0.1194 v=0.4391 ent=3.9627 aux=1.1114 ent_coef=0.0019
[02:38:31] upd 49/240 | 2.63s | steps=2560 | pi=-0.0601 v=0.4361 ent=3.9045 aux=1.1200 ent_coef=0.0019
[02:38:33] upd 50/240 | 2.63s | steps=2560 | pi=-0.0756 v=0.4444 ent=3.8177 aux=1.1346 ent_coef=0.0019
[02:38:36] quick eval upd 50: win_rate=0.386 avg_steps=2.24 guesses/ep=1.76 guess_success=0.65 auroc=0.463 score=0.383
