[21:42:22] Loaded init checkpoint from runs/il_gpu/il_final.pt
[21:42:25] upd 1/200 | 2.29s | steps=32768 | loss=0.4290 pi=0.3795 v=0.0666 ent=3.4923 | frontier=on
[21:42:26] upd 2/200 | 1.67s | steps=32768 | loss=0.2747 pi=0.2449 v=0.0311 ent=3.5497 | frontier=on
[21:42:28] upd 3/200 | 1.66s | steps=32768 | loss=0.1511 pi=0.1329 v=0.0098 ent=3.5325 | frontier=on
[21:42:30] upd 4/200 | 1.72s | steps=32768 | loss=0.0435 pi=0.0279 v=0.0040 ent=3.5697 | frontier=on
[21:42:32] upd 5/200 | 1.68s | steps=32768 | loss=0.0194 pi=0.0048 v=0.0031 ent=3.6047 | frontier=on
[21:42:33] upd 6/200 | 1.70s | steps=32768 | loss=0.0092 pi=-0.0063 v=0.0030 ent=3.5983 | frontier=on
[21:42:35] upd 7/200 | 1.72s | steps=32768 | loss=0.0109 pi=-0.0044 v=0.0029 ent=3.6035 | frontier=on
[21:42:37] upd 8/200 | 1.73s | steps=32768 | loss=0.0091 pi=-0.0067 v=0.0028 ent=3.5944 | frontier=on
[21:42:38] upd 9/200 | 1.73s | steps=32768 | loss=0.0022 pi=-0.0134 v=0.0028 ent=3.5589 | frontier=on
[21:42:40] upd 10/200 | 1.73s | steps=32768 | loss=-0.0018 pi=-0.0178 v=0.0027 ent=3.5268 | frontier=on
[21:42:42] upd 11/200 | 1.73s | steps=32768 | loss=-0.0054 pi=-0.0217 v=0.0027 ent=3.4859 | frontier=on
[21:42:44] upd 12/200 | 1.73s | steps=32768 | loss=-0.0039 pi=-0.0205 v=0.0031 ent=3.4616 | frontier=on
[21:42:45] upd 13/200 | 1.72s | steps=32768 | loss=-0.0057 pi=-0.0230 v=0.0033 ent=3.4357 | frontier=on
[21:42:47] upd 14/200 | 1.72s | steps=32768 | loss=-0.0025 pi=-0.0197 v=0.0036 ent=3.3840 | frontier=on
[21:42:49] upd 15/200 | 1.72s | steps=32768 | loss=-0.0001 pi=-0.0177 v=0.0037 ent=3.3813 | frontier=on
[21:42:50] upd 16/200 | 1.72s | steps=32768 | loss=-0.0026 pi=-0.0200 v=0.0035 ent=3.3401 | frontier=on
[21:42:52] upd 17/200 | 1.72s | steps=32768 | loss=-0.0018 pi=-0.0189 v=0.0036 ent=3.3141 | frontier=on
[21:42:54] upd 18/200 | 1.71s | steps=32768 | loss=-0.0004 pi=-0.0176 v=0.0038 ent=3.3109 | frontier=on
[21:42:56] upd 19/200 | 1.71s | steps=32768 | loss=-0.0044 pi=-0.0214 v=0.0030 ent=3.3169 | frontier=on
[21:42:57] upd 20/200 | 1.71s | steps=32768 | loss=-0.0053 pi=-0.0223 v=0.0028 ent=3.3089 | frontier=on
[21:42:59] upd 21/200 | 1.71s | steps=32768 | loss=-0.0034 pi=-0.0205 v=0.0029 ent=3.2765 | frontier=on
[21:43:01] upd 22/200 | 1.71s | steps=32768 | loss=-0.0079 pi=-0.0238 v=0.0025 ent=3.2331 | frontier=on
[21:43:02] upd 23/200 | 1.71s | steps=32768 | loss=-0.0071 pi=-0.0235 v=0.0023 ent=3.2702 | frontier=on
[21:43:04] upd 24/200 | 1.71s | steps=32768 | loss=-0.0011 pi=-0.0174 v=0.0030 ent=3.2577 | frontier=on
[21:43:06] upd 25/200 | 1.71s | steps=32768 | loss=-0.0057 pi=-0.0224 v=0.0023 ent=3.2214 | frontier=on
[21:43:08] upd 26/200 | 1.71s | steps=32768 | loss=-0.0031 pi=-0.0196 v=0.0024 ent=3.2144 | frontier=on
[21:43:09] upd 27/200 | 1.71s | steps=32768 | loss=-0.0020 pi=-0.0180 v=0.0024 ent=3.2022 | frontier=on
[21:43:11] upd 28/200 | 1.71s | steps=32768 | loss=-0.0059 pi=-0.0215 v=0.0019 ent=3.2236 | frontier=on
[21:43:13] upd 29/200 | 1.71s | steps=32768 | loss=0.0010 pi=-0.0150 v=0.0026 ent=3.2374 | frontier=on
[21:43:14] upd 30/200 | 1.71s | steps=32768 | loss=0.0001 pi=-0.0151 v=0.0026 ent=3.1833 | frontier=on
[21:43:16] upd 31/200 | 1.71s | steps=32768 | loss=-0.0017 pi=-0.0164 v=0.0021 ent=3.1659 | frontier=on
