[22:09:53] Loaded init checkpoint from runs/il_tiny/il_final.pt
[22:09:59] upd 1/200 | 4.86s | steps=8192 | loss=0.8601 pi=0.7442 v=0.2201 ent=1.3922 | frontier=on
[22:09:59] upd 2/200 | 0.58s | steps=8192 | loss=0.3439 pi=0.3059 v=0.0686 ent=1.4696 | frontier=on
[22:10:00] upd 3/200 | 0.58s | steps=8192 | loss=0.1777 pi=0.1640 v=0.0228 ent=1.5600 | frontier=on
[22:10:00] upd 4/200 | 0.58s | steps=8192 | loss=-0.0010 pi=-0.0108 v=0.0176 ent=1.6196 | frontier=on
[22:10:01] upd 5/200 | 0.57s | steps=8192 | loss=0.0102 pi=0.0018 v=0.0171 ent=1.6471 | frontier=on
[22:10:01] upd 6/200 | 0.56s | steps=8192 | loss=-0.0168 pi=-0.0295 v=0.0267 ent=1.6541 | frontier=on
[22:10:02] upd 7/200 | 0.56s | steps=8192 | loss=0.0001 pi=-0.0094 v=0.0211 ent=1.6497 | frontier=on
[22:10:03] upd 8/200 | 0.55s | steps=8192 | loss=-0.0001 pi=-0.0155 v=0.0332 ent=1.6268 | frontier=on
[22:10:03] upd 9/200 | 0.55s | steps=8192 | loss=-0.0050 pi=-0.0262 v=0.0451 ent=1.6048 | frontier=on
[22:10:04] upd 10/200 | 0.55s | steps=8192 | loss=0.0076 pi=-0.0165 v=0.0508 ent=1.5701 | frontier=on
[22:10:04] upd 11/200 | 0.55s | steps=8192 | loss=0.0051 pi=-0.0264 v=0.0656 ent=1.5453 | frontier=on
[22:10:05] upd 12/200 | 0.55s | steps=8192 | loss=0.0038 pi=-0.0393 v=0.0879 ent=1.4521 | frontier=on
[22:10:05] upd 13/200 | 0.54s | steps=8192 | loss=0.0070 pi=-0.0373 v=0.0896 ent=1.4108 | frontier=on
[22:10:06] upd 14/200 | 0.54s | steps=8192 | loss=0.0053 pi=-0.0416 v=0.0945 ent=1.3697 | frontier=on
[22:10:06] upd 15/200 | 0.54s | steps=8192 | loss=0.0250 pi=-0.0256 v=0.1017 ent=1.3656 | frontier=on
[22:10:07] upd 16/200 | 0.53s | steps=8192 | loss=0.0375 pi=-0.0177 v=0.1104 ent=1.3295 | frontier=on
[22:10:07] upd 17/200 | 0.53s | steps=8192 | loss=0.0208 pi=-0.0445 v=0.1310 ent=1.2939 | frontier=on
[22:10:08] upd 18/200 | 0.53s | steps=8192 | loss=0.0162 pi=-0.0616 v=0.1553 ent=1.2766 | frontier=on
[22:10:09] upd 19/200 | 0.56s | steps=8192 | loss=0.0579 pi=-0.0097 v=0.1336 ent=1.2392 | frontier=on
[22:10:09] upd 20/200 | 0.55s | steps=8192 | loss=0.0425 pi=-0.0333 v=0.1497 ent=1.2122 | frontier=on
[22:10:10] upd 21/200 | 0.53s | steps=8192 | loss=0.0536 pi=-0.0281 v=0.1616 ent=1.2008 | frontier=on
[22:10:10] upd 22/200 | 0.53s | steps=8192 | loss=0.0501 pi=-0.0413 v=0.1807 ent=1.1759 | frontier=on
[22:10:11] upd 23/200 | 0.53s | steps=8192 | loss=0.0437 pi=-0.0557 v=0.1967 ent=1.1466 | frontier=on
[22:10:11] upd 24/200 | 0.53s | steps=8192 | loss=0.0514 pi=-0.0498 v=0.2001 ent=1.1449 | frontier=on
[22:10:12] upd 25/200 | 0.53s | steps=8192 | loss=0.0538 pi=-0.0489 v=0.2026 ent=1.1356 | frontier=on
[22:10:12] upd 26/200 | 0.53s | steps=8192 | loss=0.0743 pi=-0.0246 v=0.1945 ent=1.1239 | frontier=on
[22:10:13] upd 27/200 | 0.53s | steps=8192 | loss=0.0634 pi=-0.0451 v=0.2138 ent=1.0892 | frontier=on
[22:10:13] upd 28/200 | 0.57s | steps=8192 | loss=0.0839 pi=-0.0248 v=0.2135 ent=1.0645 | frontier=on
[22:10:14] upd 29/200 | 0.53s | steps=8192 | loss=0.0761 pi=-0.0405 v=0.2288 ent=1.0482 | frontier=on
[22:10:14] upd 30/200 | 0.53s | steps=8192 | loss=0.0901 pi=-0.0260 v=0.2277 ent=1.0166 | frontier=on
[22:10:15] upd 31/200 | 0.53s | steps=8192 | loss=0.1010 pi=-0.0173 v=0.2313 ent=1.0034 | frontier=on
[22:10:15] upd 32/200 | 0.52s | steps=8192 | loss=0.0739 pi=-0.0547 v=0.2521 ent=0.9941 | frontier=on
[22:10:16] upd 33/200 | 0.52s | steps=8192 | loss=0.1552 pi=0.0310 v=0.2426 ent=0.9806 | frontier=on
[22:10:17] upd 34/200 | 0.54s | steps=8192 | loss=0.0630 pi=-0.0673 v=0.2547 ent=0.9560 | frontier=on
[22:10:17] upd 35/200 | 0.52s | steps=8192 | loss=0.0904 pi=-0.0415 v=0.2582 ent=0.9661 | frontier=on
[22:10:18] upd 36/200 | 0.52s | steps=8192 | loss=0.0765 pi=-0.0624 v=0.2727 ent=0.9733 | frontier=on
[22:10:18] upd 37/200 | 0.52s | steps=8192 | loss=0.1335 pi=0.0018 v=0.2571 ent=0.9535 | frontier=on
