[22:25:26] upd 1/200 | 4.90s | steps=8192 | loss=0.9213 pi=0.7708 v=0.2408 ent=2.6680 | frontier=on
[22:25:27] upd 2/200 | 0.60s | steps=8192 | loss=0.4657 pi=0.4138 v=0.0830 ent=2.6729 | frontier=on
[22:25:27] upd 3/200 | 0.60s | steps=8192 | loss=0.1306 pi=0.1162 v=0.0174 ent=2.6847 | frontier=on
[22:25:28] upd 4/200 | 0.60s | steps=8192 | loss=-0.0262 pi=-0.0378 v=0.0136 ent=2.6836 | frontier=on
[22:25:28] upd 5/200 | 0.60s | steps=8192 | loss=0.0031 pi=-0.0058 v=0.0084 ent=2.6751 | frontier=on
[22:25:29] upd 6/200 | 0.59s | steps=8192 | loss=0.0016 pi=-0.0072 v=0.0117 ent=2.6639 | frontier=on
[22:25:29] upd 7/200 | 0.58s | steps=8192 | loss=0.0124 pi=0.0069 v=0.0077 ent=2.6453 | frontier=on
[22:25:30] upd 8/200 | 0.59s | steps=8192 | loss=-0.0095 pi=-0.0165 v=0.0120 ent=2.6064 | frontier=on
[22:25:31] upd 9/200 | 0.59s | steps=8192 | loss=0.0050 pi=-0.0016 v=0.0130 ent=2.5690 | frontier=on
[22:25:31] upd 10/200 | 0.60s | steps=8192 | loss=0.0034 pi=0.0004 v=0.0071 ent=2.5304 | frontier=on
[22:25:32] upd 11/200 | 0.60s | steps=8192 | loss=-0.0017 pi=-0.0061 v=0.0109 ent=2.4705 | frontier=on
[22:25:32] upd 12/200 | 0.59s | steps=8192 | loss=0.0090 pi=0.0051 v=0.0126 ent=2.4401 | frontier=on
[22:25:33] upd 13/200 | 0.59s | steps=8192 | loss=0.0230 pi=0.0193 v=0.0119 ent=2.3831 | frontier=on
[22:25:34] upd 14/200 | 0.59s | steps=8192 | loss=-0.0074 pi=-0.0083 v=0.0078 ent=2.3551 | frontier=on
[22:25:34] upd 15/200 | 0.59s | steps=8192 | loss=0.0040 pi=0.0009 v=0.0119 ent=2.3076 | frontier=on
[22:25:35] upd 16/200 | 0.61s | steps=8192 | loss=-0.0161 pi=-0.0199 v=0.0140 ent=2.2767 | frontier=on
[22:25:35] upd 17/200 | 0.60s | steps=8192 | loss=0.0001 pi=-0.0030 v=0.0134 ent=2.2384 | frontier=on
[22:25:36] upd 18/200 | 0.62s | steps=8192 | loss=0.0143 pi=0.0088 v=0.0179 ent=2.1838 | frontier=on
[22:25:37] upd 19/200 | 0.60s | steps=8192 | loss=0.0157 pi=0.0120 v=0.0143 ent=2.1530 | frontier=on
[22:25:37] upd 20/200 | 0.61s | steps=8192 | loss=-0.0020 pi=-0.0059 v=0.0152 ent=2.0916 | frontier=on
[22:25:38] upd 21/200 | 0.60s | steps=8192 | loss=-0.0030 pi=-0.0073 v=0.0153 ent=2.0467 | frontier=on
[22:25:39] upd 22/200 | 0.60s | steps=8192 | loss=0.0046 pi=0.0014 v=0.0129 ent=1.9914 | frontier=on
[22:25:39] upd 23/200 | 0.59s | steps=8192 | loss=0.0059 pi=0.0029 v=0.0133 ent=2.0199 | frontier=on
[22:25:40] upd 24/200 | 0.58s | steps=8192 | loss=-0.0014 pi=-0.0096 v=0.0232 ent=1.9799 | frontier=on
[22:25:40] upd 25/200 | 0.58s | steps=8192 | loss=0.0007 pi=-0.0042 v=0.0168 ent=1.9857 | frontier=on
[22:25:41] upd 26/200 | 0.58s | steps=8192 | loss=-0.0015 pi=-0.0107 v=0.0256 ent=1.9465 | frontier=on
[22:25:41] upd 27/200 | 0.58s | steps=8192 | loss=0.0167 pi=0.0086 v=0.0232 ent=1.9429 | frontier=on
[22:25:42] upd 28/200 | 0.57s | steps=8192 | loss=0.0325 pi=0.0263 v=0.0191 ent=1.8903 | frontier=on
[22:25:43] upd 29/200 | 0.58s | steps=8192 | loss=0.0218 pi=0.0164 v=0.0175 ent=1.8648 | frontier=on
[22:25:43] upd 30/200 | 0.57s | steps=8192 | loss=0.0043 pi=-0.0045 v=0.0241 ent=1.8386 | frontier=on
[22:25:44] upd 31/200 | 0.57s | steps=8192 | loss=0.0059 pi=-0.0030 v=0.0239 ent=1.7855 | frontier=on
[22:25:44] upd 32/200 | 0.60s | steps=8192 | loss=0.0201 pi=0.0047 v=0.0359 ent=1.7574 | frontier=on
[22:25:45] upd 33/200 | 0.59s | steps=8192 | loss=0.0315 pi=0.0226 v=0.0226 ent=1.7255 | frontier=on
[22:25:46] upd 34/200 | 0.58s | steps=8192 | loss=0.0002 pi=-0.0149 v=0.0342 ent=1.6777 | frontier=on
[22:25:46] upd 35/200 | 0.58s | steps=8192 | loss=-0.0070 pi=-0.0225 v=0.0353 ent=1.6857 | frontier=on
[22:25:47] upd 36/200 | 0.56s | steps=8192 | loss=0.0111 pi=-0.0066 v=0.0387 ent=1.6138 | frontier=on
[22:25:47] upd 37/200 | 0.57s | steps=8192 | loss=0.0228 pi=0.0061 v=0.0364 ent=1.6060 | frontier=on
[22:25:48] upd 38/200 | 0.59s | steps=8192 | loss=0.0307 pi=0.0134 v=0.0382 ent=1.5994 | frontier=on
[22:25:48] upd 39/200 | 0.57s | steps=8192 | loss=0.0189 pi=0.0041 v=0.0330 ent=1.6012 | frontier=on
[22:25:49] upd 40/200 | 0.56s | steps=8192 | loss=0.0078 pi=-0.0132 v=0.0454 ent=1.5696 | frontier=on
[22:25:50] upd 41/200 | 0.58s | steps=8192 | loss=0.0215 pi=0.0007 v=0.0450 ent=1.5544 | frontier=on
[22:25:50] upd 42/200 | 0.57s | steps=8192 | loss=0.0075 pi=-0.0123 v=0.0419 ent=1.4863 | frontier=on
[22:25:51] upd 43/200 | 0.57s | steps=8192 | loss=0.0150 pi=-0.0062 v=0.0448 ent=1.5045 | frontier=on
[22:25:51] upd 44/200 | 0.56s | steps=8192 | loss=0.0213 pi=-0.0051 v=0.0546 ent=1.4591 | frontier=on
[22:25:52] upd 45/200 | 0.56s | steps=8192 | loss=0.0250 pi=0.0042 v=0.0437 ent=1.4614 | frontier=on
[22:25:52] upd 46/200 | 0.56s | steps=8192 | loss=0.0394 pi=0.0094 v=0.0609 ent=1.3931 | frontier=on
[22:25:53] upd 47/200 | 0.56s | steps=8192 | loss=0.0162 pi=-0.0035 v=0.0398 ent=1.3969 | frontier=on
[22:25:53] upd 48/200 | 0.56s | steps=8192 | loss=-0.0188 pi=-0.0454 v=0.0540 ent=1.3854 | frontier=on
[22:25:54] upd 49/200 | 0.57s | steps=8192 | loss=0.0235 pi=-0.0103 v=0.0678 ent=1.3646 | frontier=on
[22:25:55] upd 50/200 | 0.56s | steps=8192 | loss=0.0785 pi=0.0530 v=0.0513 ent=1.3625 | frontier=on
[22:25:55] upd 51/200 | 0.57s | steps=8192 | loss=-0.0004 pi=-0.0340 v=0.0671 ent=1.3152 | frontier=on
[22:25:56] upd 52/200 | 0.56s | steps=8192 | loss=0.0304 pi=0.0014 v=0.0578 ent=1.3257 | frontier=on
[22:25:56] upd 53/200 | 0.56s | steps=8192 | loss=0.0486 pi=0.0151 v=0.0660 ent=1.2692 | frontier=on
[22:25:57] upd 54/200 | 0.56s | steps=8192 | loss=-0.0181 pi=-0.0474 v=0.0572 ent=1.2766 | frontier=on
[22:25:57] upd 55/200 | 0.56s | steps=8192 | loss=0.0229 pi=-0.0042 v=0.0535 ent=1.3111 | frontier=on
[22:25:58] upd 56/200 | 0.56s | steps=8192 | loss=-0.0068 pi=-0.0498 v=0.0850 ent=1.2733 | frontier=on
[22:25:59] upd 57/200 | 0.56s | steps=8192 | loss=0.0953 pi=0.0606 v=0.0691 ent=1.3031 | frontier=on
[22:25:59] upd 58/200 | 0.57s | steps=8192 | loss=0.0330 pi=-0.0092 v=0.0842 ent=1.3005 | frontier=on
[22:26:00] upd 59/200 | 0.56s | steps=8192 | loss=0.0705 pi=0.0420 v=0.0582 ent=1.3568 | frontier=on
[22:26:00] upd 60/200 | 0.56s | steps=8192 | loss=-0.0010 pi=-0.0372 v=0.0729 ent=1.3346 | frontier=on
[22:26:01] upd 61/200 | 0.55s | steps=8192 | loss=0.0748 pi=0.0405 v=0.0690 ent=1.3219 | frontier=on
[22:26:01] upd 62/200 | 0.56s | steps=8192 | loss=0.0363 pi=-0.0074 v=0.0867 ent=1.2650 | frontier=on
[22:26:02] upd 63/200 | 0.55s | steps=8192 | loss=0.0568 pi=0.0213 v=0.0710 ent=1.2915 | frontier=on
[22:26:02] upd 64/200 | 0.56s | steps=8192 | loss=0.0195 pi=-0.0196 v=0.0782 ent=1.2793 | frontier=on
[22:26:03] upd 65/200 | 0.56s | steps=8192 | loss=0.0194 pi=-0.0179 v=0.0735 ent=1.2415 | frontier=on
[22:26:04] upd 66/200 | 0.55s | steps=8192 | loss=0.0148 pi=-0.0275 v=0.0838 ent=1.2638 | frontier=on
[22:26:04] upd 67/200 | 0.55s | steps=8192 | loss=0.0696 pi=0.0260 v=0.0861 ent=1.2134 | frontier=on
[22:26:05] upd 68/200 | 0.55s | steps=8192 | loss=0.0923 pi=0.0469 v=0.0898 ent=1.2376 | frontier=on
[22:26:05] upd 69/200 | 0.55s | steps=8192 | loss=0.1006 pi=0.0602 v=0.0789 ent=1.1899 | frontier=on
[22:26:06] upd 70/200 | 0.55s | steps=8192 | loss=0.0228 pi=-0.0249 v=0.0936 ent=1.1853 | frontier=on
[22:26:06] upd 71/200 | 0.55s | steps=8192 | loss=0.0666 pi=0.0160 v=0.0986 ent=1.1409 | frontier=on
[22:26:07] upd 72/200 | 0.55s | steps=8192 | loss=0.0248 pi=-0.0179 v=0.0828 ent=1.1372 | frontier=on
[22:26:07] upd 73/200 | 0.58s | steps=8192 | loss=0.0467 pi=-0.0027 v=0.0967 ent=1.1166 | frontier=on
[22:26:08] upd 74/200 | 0.57s | steps=8192 | loss=0.0579 pi=0.0044 v=0.1041 ent=1.1147 | frontier=on
